future_runtime_hours,predicted_temperature
501,109.6117968193686
502,109.70503995569268
503,109.79828309201676
504,109.89152622834084
505,109.98476936466491
506,110.07801250098899
507,110.17125563731307
508,110.26449877363714
509,110.35774190996122
510,110.4509850462853
511,110.54422818260937
512,110.63747131893345
513,110.73071445525753
514,110.8239575915816
515,110.91720072790568
516,111.01044386422976
517,111.10368700055383
518,111.19693013687791
519,111.29017327320199
520,111.38341640952606
521,111.47665954585014
522,111.56990268217422
523,111.6631458184983
524,111.75638895482237
